VariableCode,RegionCode,YearCode,AggValue
rgdpe,ABW,1970,400.08172607421900000
rgdpe,ABW,1971,436.48605346679700000
rgdpe,ABW,1972,476.16091918945300000
rgdpe,ABW,1973,519.41870117187500000
rgdpe,ABW,1974,566.94567871093800000
rgdpe,ABW,1975,618.71496582031300000
rgdpe,ABW,1976,674.77984619140600000
rgdpe,ABW,1977,736.01867675781300000
rgdpe,ABW,1978,802.82562255859400000
rgdpe,ABW,1979,875.77484130859400000
rgdpe,ABW,1980,955.63214111328100000
rgdpe,ABW,1981,1042.46826171875000000
rgdpe,ABW,1982,1137.42065429688000000
rgdpe,ABW,1983,1240.58386230469000000
rgdpe,ABW,1984,1352.77282714844000000
rgdpe,ABW,1985,1476.16137695313000000
rgdpe,ABW,1986,1610.10803222656000000
rgdpe,ABW,1987,1867.34948730469000000
rgdpe,ABW,1988,2218.91528320313000000
rgdpe,ABW,1989,2485.19702148438000000
rgdpe,ABW,1990,2575.25561523438000000
rgdpe,ABW,1991,2804.50048828125000000
rgdpe,ABW,1992,2944.51611328125000000
rgdpe,ABW,1993,3131.37084960938000000
rgdpe,ABW,1994,3537.95336914063000000
rgdpe,ABW,1995,3412.87451171875000000
rgdpe,ABW,1996,3428.60107421875000000
rgdpe,ABW,1997,3718.44140625000000000
rgdpe,ABW,1998,3992.37670898438000000
rgdpe,ABW,1999,4032.62231445313000000
rgdpe,ABW,2000,4031.13427734375000000
rgdpe,ABW,2001,4122.95849609375000000
rgdpe,ABW,2002,4101.70312500000000000
rgdpe,ABW,2003,4209.14013671875000000
rgdpe,ABW,2004,4548.99121093750000000
rgdpe,ABW,2005,4705.81835937500000000
rgdpe,ABW,2006,4748.85888671875000000
rgdpe,ABW,2007,4863.89208984375000000
rgdpe,ABW,2008,4786.57714843750000000
rgdpe,ABW,2009,4350.84472656250000000
rgdpe,ABW,2010,4012.71166992188000000
rgdpe,ABW,2011,4092.74096679688000000
rgdpe,ABW,2012,3934.01831054688000000
rgdpe,ABW,2013,3968.85888671875000000
rgdpe,ABW,2014,3905.87744140625000000
rgdpe,ABW,2015,3959.59252929688000000
rgdpe,ABW,2016,3953.52221679688000000
rgdpe,ABW,2017,3979.91040039063000000
rgdpe,ABW,2018,3927.56665039063000000
rgdpe,ABW,2019,3921.26123046875000000
rgdpe,AGO,1970,28969.10937500000000000
rgdpe,AGO,1971,30687.42187500000000000
rgdpe,AGO,1972,30796.36523437500000000
rgdpe,AGO,1973,33606.76562500000000000
rgdpe,AGO,1974,34613.85546875000000000
rgdpe,AGO,1975,32736.13671875000000000
rgdpe,AGO,1976,31027.25976562500000000
rgdpe,AGO,1977,31654.45312500000000000
rgdpe,AGO,1978,29536.04882812500000000
rgdpe,AGO,1979,29828.99609375000000000
rgdpe,AGO,1980,30380.06640625000000000
rgdpe,AGO,1981,29912.49609375000000000
rgdpe,AGO,1982,30552.60742187500000000
rgdpe,AGO,1983,31005.72656250000000000
rgdpe,AGO,1984,34438.75000000000000000
rgdpe,AGO,1985,35114.29296875000000000
rgdpe,AGO,1986,30319.90820312500000000
rgdpe,AGO,1987,34479.48437500000000000
rgdpe,AGO,1988,32761.54687500000000000
rgdpe,AGO,1989,34640.91796875000000000
rgdpe,AGO,1990,36310.55468750000000000
rgdpe,AGO,1991,33509.28906250000000000
rgdpe,AGO,1992,38332.85156250000000000
rgdpe,AGO,1993,33135.31640625000000000
rgdpe,AGO,1994,36157.69140625000000000
rgdpe,AGO,1995,36550.82421875000000000
rgdpe,AGO,1996,48771.60156250000000000
rgdpe,AGO,1997,45720.80468750000000000
rgdpe,AGO,1998,47414.22265625000000000
rgdpe,AGO,1999,49751.99218750000000000
rgdpe,AGO,2000,40896.87890625000000000
rgdpe,AGO,2001,40838.36328125000000000
rgdpe,AGO,2002,46391.69140625000000000
rgdpe,AGO,2003,48488.30859375000000000
rgdpe,AGO,2004,57571.03906250000000000
rgdpe,AGO,2005,71963.17968750000000000
rgdpe,AGO,2006,91456.07812500000000000
rgdpe,AGO,2007,100577.35156250000000000
rgdpe,AGO,2008,120543.34375000000000000
rgdpe,AGO,2009,99539.35937500000000000
rgdpe,AGO,2010,140742.28125000000000000
rgdpe,AGO,2011,185480.78125000000000000
rgdpe,AGO,2012,204876.35937500000000000
rgdpe,AGO,2013,215438.57812500000000000
rgdpe,AGO,2014,232251.18750000000000000
rgdpe,AGO,2015,216207.09375000000000000
rgdpe,AGO,2016,211653.79687500000000000
rgdpe,AGO,2017,223326.73437500000000000
rgdpe,AGO,2018,239713.12500000000000000
rgdpe,AGO,2019,228151.01562500000000000
rgdpe,AIA,1970,61.81900405883790000
rgdpe,AIA,1971,60.27967071533200000
rgdpe,AIA,1972,67.26012420654300000
rgdpe,AIA,1973,70.09053039550780000
rgdpe,AIA,1974,69.94476318359380000
rgdpe,AIA,1975,72.28514099121090000
rgdpe,AIA,1976,73.45142364501950000
rgdpe,AIA,1977,73.74733734130860000
rgdpe,AIA,1978,79.21969604492190000
rgdpe,AIA,1979,86.38504028320310000
rgdpe,AIA,1980,90.26071166992190000
rgdpe,AIA,1981,94.54962158203130000
rgdpe,AIA,1982,94.37899780273440000
rgdpe,AIA,1983,93.31219482421880000
rgdpe,AIA,1984,95.16195678710940000
rgdpe,AIA,1985,107.11946868896500000
rgdpe,AIA,1986,130.19129943847700000
rgdpe,AIA,1987,144.43592834472700000
rgdpe,AIA,1988,149.71484375000000000
