gwgroupid,countries_gwid,year,groupname,countryname,isactive,isrelevant,groupsize,statusid,statusname,regaut,rai_regionid,status_pwrrank,status_monopoly,status_dominant,status_senior,status_junior,status_selfexclusion,status_powerless,status_discrim,status_egip,status_excl,egip_groups_count,excl_groups_count,rlvt_groups_count,actv_groups_count,lpop,lsize,egippop,legippop,exclpop,lexclpop,discrimpop,ldiscrimpop,rbal,rlbal,downgraded1,downgraded_excl1,downgraded_regaut1,upgraded1,upgraded_excl1,upgraded_regaut1,downgraded2,downgraded_excl2,downgraded_regaut2,upgraded2,upgraded_excl2,upgraded_regaut2,downgraded5,downgraded_excl5,downgraded_regaut5,upgraded5,upgraded_excl5,upgraded_regaut5,downgraded10,downgraded_excl10,downgraded_regaut10,upgraded10,upgraded_excl10,upgraded_regaut10,downgraded_hist,downgraded_excl_hist,downgraded_regaut_hist,upgraded_hist,upgraded_excl_hist,upgraded_regaut_hist,family_downgraded1,family_downgraded_excl1,family_downgraded_regaut1,family_upgraded1,family_upgraded_excl1,family_upgraded_regaut1,family_downgraded2,family_downgraded_excl2,family_downgraded_regaut2,family_upgraded2,family_upgraded_excl2,family_upgraded_regaut2,family_downgraded5,family_downgraded_excl5,family_downgraded_regaut5,family_upgraded5,family_upgraded_excl5,family_upgraded_regaut5,family_downgraded10,family_downgraded_excl10,family_downgraded_regaut10,family_upgraded10,family_upgraded_excl10,family_upgraded_regaut10,onset_ko_flag,onset_ko_terr_flag,onset_ko_gov_flag,incidence_flag,incidence_terr_flag,incidence_gov_flag,onset_do_flag,onset_do_terr_flag,onset_do_gov_flag,family_onset_ko_flag,family_onset_ko_terr_flag,family_onset_ko_gov_flag,family_incidence_flag,family_incidence_terr_flag,family_incidence_gov_flag,warhist,warhist_terr,warhist_gov,family_warhist,family_warhist_terr,family_warhist_gov,peaceyears,peaceyears_terr,peaceyears_gov,family_peaceyears,family_peaceyears_terr,family_peaceyears_gov
34001000,340,2006,Serbs,Serbia,1,1,0.66,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.94690007,0.6970113,0.66,0.6970113,0.28689998,0.30298865,0.014,0.014785088,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34001000,340,2007,Serbs,Serbia,1,1,0.66,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.94690007,0.6970113,0.66,0.6970113,0.28689998,0.30298865,0.014,0.014785088,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
34001000,340,2008,Serbs,Serbia,1,1,0.66,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.94690007,0.6970113,0.66,0.6970113,0.28689998,0.30298865,0.014,0.014785088,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
34001000,340,2009,Serbs,Serbia,1,1,0.838,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.92600006,0.90496755,0.838,0.90496755,0.088,0.095032394,0.004,0.0043196543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
34001000,340,2010,Serbs,Serbia,1,1,0.838,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.92600006,0.90496755,0.838,0.90496755,0.088,0.095032394,0.004,0.0043196543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
34001000,340,2011,Serbs,Serbia,1,1,0.838,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.92600006,0.90496755,0.838,0.90496755,0.088,0.095032394,0.004,0.0043196543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
34001000,340,2012,Serbs,Serbia,1,1,0.838,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.92600006,0.90496755,0.838,0.90496755,0.088,0.095032394,0.004,0.0043196543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6
34001000,340,2013,Serbs,Serbia,1,1,0.838,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.92600006,0.90496755,0.838,0.90496755,0.088,0.095032394,0.004,0.0043196543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7
34001000,340,2014,Serbs,Serbia,1,1,0.838,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.92600006,0.90496755,0.838,0.90496755,0.088,0.095032394,0.004,0.0043196543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
34001000,340,2015,Serbs,Serbia,1,1,0.838,2,DOMINANT,NA,NA,6,0,1,0,0,0,0,0,1,0,1,7,8,8,0.92600006,0.90496755,0.838,0.90496755,0.088,0.095032394,0.004,0.0043196543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9
